,food.item,group,weight,calorie,total.fat,saturated.fat,cholesterol,sodium,sugar,fiber,total.carbs,protein,vitamin.a,vitamin.c,calcium,iron
1,Sweet Corn,vegetable,90,85,1,,0,0,4.04,2.1,18.67,3.03,4,8,0,2
2,"Boneless, Skinless Chicken Breast",meat,140,231,5,1.4,119,104,0,0,0,43,0,0,2,8
3,"Beef, Ground, 85% Lean, Broiled",meat,100,215,15,6,68,66,0,0,0,19,0,0,1,11
4,Baked Potato Nutrition,vegetable,213,163,0.2,0.1,0,13,1.7,4.7,37,4.3,0,70,2,9
5,"Cottage Cheese Lowfat, 2% Milkfat",dairy,113,98,2.8,1.1,11,373,4.1,0,4.1,13,1,0,10,1
6,Broccoli Nutrition Facts,vegetable,91,31,0.3,0,0,30,1.5,2.4,6,2.5,11,135,4,4
7,Plain Whole Milk Yogurt,dairy,245,149,8,5.1,32,113,11.4,0,11.4,8.5,5,2,30,1
8,Green Beans,vegetable,110,44,0,,0,1,2,4,10,2,6,16,6,5
9,Whole Wheat Bread,grain,28,69,0.9,0.2,0,132,1.6,1.9,11.6,3.6,0,0,3,4
10,2% Low Fat Milk,dairy,68,122,5,3,20,115,11,0,12,8,1,0,29,0
11,Apple,fruit,182,95,0.3,0,0,2,18.9,4.4,25.1,0.8,0,28,0,6
12,Banana,fruit,118,105,0.4,0,0,1,14.4,3.1,27,1.3,2,17,1,2
13,Grapes,fruit,160,104,0.2,0,0,3,23.4,1.4,27.3,1.1,11,7,2,1
14,Cherries,fruit,138,87,0.3,0,0,0,17.6,3,22,1.4,2,15,2,2
15,Orange,fruit,131,62,0.2,0,0,0,12.2,3.1,15.4,1.2,6,116,5,1
16,Onion,vegetable,14,6,0,,0,1,0.6,0.3,1.3,0.2,0,2,0,0
17,Red Bell Pepper,vegetable,149,39,0.5,0,0,0,6,3.1,9,1.5,33,253,1,4
18,Salmon,meat,124,185,5.5,0.9,83,107,0,0,0,31.7,3,0,2,7
19,Swiss Cheese,dairy,28,106,7.8,5,26,54,0.4,0,1.5,7.5,5,0,22,0
20,Carrot,vegetable,61,25,0,0,0,42,3,1.5,6,0.5,204,6,2,1
21,Plain Bagel,grain,110,289,1.7,0,0,561,0,2.4,56.1,11,0,0,2,21
22,Pears,fruit,178,101,0.2,0,0,2,17.3,5.5,27.3,0.6,1,10,1,2
23,Turkey Breast,meat,114,167,2,1,91,235,0,0,0,34,0,0,1,4
24,Beef Tenderloin,meat,85,179,8.5,3.2,71,54,0,0,0,24,0,0,1,17
25,Ham,meat,140,203,8,,0,1684,0,0,2.1,29,0,0,1,11
26,Peanuts,legume/nut,28,166,14.1,2,0,230,1.2,2.3,6.1,6.7,0,0,2,4
27,Almond,legume/nut,28,162,14.2,1.1,0,0,1.2,3.5,6.1,6,0,0,8,6
28,"White Rice, Medium Grain",grain,186,242,0.4,0.1,0,0,0,0.6,53.2,4.4,0,0,0,34
29,Oats,grain,234,166,3.6,0.7,0,9,0.6,4,28.1,5.9,0,0,2,12
30,Classic Granola,grain,53,180,2.5,0,0,5,5,4,36,6,0,0,2,10
31,Celery,vegetable,40,6,0.1,0,0,32,0.5,0.6,1.2,0.3,4,2,2,0
32,Sugar Snap Peas,vegetable,124.6,60,0,0,0,0,4.5,3,10.5,3,8,18,6,13
33,Peaches,fruit,150,58,0.4,0,0,0,13,2.2,14,1.4,3,16,0,2
34,Watermelon,fruit,154,46,0.2,0,0,2,9.5,0.6,11.6,0.9,18,21,1,2
35,Cauliflower,vegetable,62,14,0.3,0,0,150,1.2,1.4,2.5,1.1,0,46,1,1
36,Spinach,vegetable,30,7,0.1,0,0,24,0.1,0.7,1.1,0.9,56,14,3,5
37,Cucumber,fruit,52,8,0.1,0,0,1,0.9,0.3,1.9,0.3,1,2,1,1
38,Black Beans,legume/nut,130,109,0.35,0,0,490,0,8.3,20,7,0,5,5,13
,Bacon,meat,8,43,3.3,1.1,9,137,0,0,0.1,3,0,0,0,0
,Eggs,dairy,50,78,5,1.6,187,62,0.6,0,0.6,6,5,0,2,3
,tomato,fruit,123,22,0.3,0,0,6.2,3.2,1.5,4.8,1.1,20,28,0.9,1.8
